id,collection,dc.contributor.author,dc.date.issued,dc.description.abstract,dc.identifier.citation,dc.identifier.uri,dc.language.iso,dc.title,dc.type
+,123456789/13,G. Risteski||M. Chathurika||B. Ali||A. Hristov,2021-12-31," Pretty much every part of life now results in the 
generation of data. Logs are documentation of events or records 
of system activities and are created automatically through IT 
systems. Log data analysis is a process of making sense of these 
records. Log data often grows quickly and the conventional 
database solutions run short for dealing with a large volume of 
log files. Hadoop, having a wide area of applications for Big Data 
analysis, provides a solution for this problem. In this study, 
Hadoop was installed on two virtual machines. Log files 
generated by a Python script were analyzed in order to evaluate 
the system activities. The aim was to validate the importance of 
Hadoop in meeting the challenge of dealing with Big Data. The 
performed experiments show that analyzing logs with Hadoop 
MapReduce makes the data processing and detection of 
malfunctions and defects faster and simpler. ","Journal of Emerging Computer Technologies, 1(1), February 2021. DergiPark, Turkey (OECD member state)",https://dergipark.org.tr/en/download/article-file/1913723||http://repository.uist.edu.mk/handle/123456789/71,en,Log Analysis with Hadoop MapReduce,Article
+,123456789/7,E. Hadzieva||J. Guncaga||S. C. Bose||K. S. Ivanoska,2021-11-29,"2020 will be remembered for COVID-19, a pandemic that forced the world to lock down and urged most educational providers to promptly implement e-learning solutions. In this paper, we point out some challenges faced by university teachers who had almost no earlier practice in online teaching. Nine lecturers working in different universities from Brazil, the Czech Republic, Estonia, Hungary, India, Macedonia, and Slovakia – all teaching science, technology, engineering, and mathematics (STEM) subjects – were interviewed to share their online teaching experiences during the COVID-19 lockdown. The aim of this introductory small-scale research paper is to provide a basis for future research regarding the influences that the COVID-19 situation has had on educational processes, as well as to assist educational providers in foreseeing and eliminating the possible problems of lecturers when establishing an online educational environment. Some conclusions are formulated from the interview survey, and possibilities for further research are described.","Central European Journal of Educational Research, 3(3), 22-32. EBSCO (Central & Eastern European Academic Source – CEEAS)",https://doi.org/10.37441/cejer/2021/3/3/9601,en,Introductory survey on challenges encountered by university teachers in online teaching of STEM subjects during COVID-19 lockdown,Article
+,123456789/14,M. Trpkoski||et al.,2024-12-31,"This publication titled 'Machine Vision and AI-based Detection Systems in Industrial Applications' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Journal of UIST, ISSN 2955-182X, 4(1), 2024",https://journal.uist.edu.mk/wp-content/uploads/2024/03/Journal-of-UIST-Vol-4_.pdf||http://repository.uist.edu.mk/handle/123456789/125,en,Machine Vision and AI-based Detection Systems in Industrial Applications,Article
+,123456789/7,B. Chauleva||D. Capeska Bogatinoska||A. Karadimce,2024-12-31,"In a highly competitive, data-driven marketplace, optimizing customer journeys is essential for businesses. This paper examines the combination of advanced analytics techniques with Google BigQuery’s data warehousing capabilities, utilizing data from Google Analytics 4 (GA4). GA4 provides a comprehensive view of user interactions across platforms, but extracting actionable insights requires a robust data infrastructure. Google BigQuery’s scalable architecture supports real-time analysis of massive datasets, offering valuable insights into customer behavior. This research explores methodologies such as sequence analysis, network analysis, and clustering to analyze customer journeys and enhance marketing strategies. Our technical contributions include the development of a scalable ELT pipeline using Dataform for processing GA4 data, the implementation of optimized star schema design for enhanced query performance in BigQuery, and the integration of advanced analytics techniques, such as sequence, cluster, and network analysis, to drive actionable insights and improve decision-making accuracy. Through practical implementations and real-world examples, the study demonstrates the effectiveness of this integration. Key findings show sequence analysis improves purchase flow, network analysis identifies product relationships, and clustering analysis enables customer segmentation for targeted marketing. The paper concludes with recommendations for businesses to fully leverage GA4 data, improving user experiences and fostering sustainable growth.","WSEAS Transactions on Computers, 23(33), 336-346. Scopus",https://doi.org/10.37394/23205.2024.23.33,en,Optimizing customer journey through advanced analytics techniques over Google Analytics 4 data in Google BigQuery,Article
+,123456789/7,D. Capeska Bogatinoska||J. Damoska Sekuloska||A. Oncheva,2024-06-30,Foreign Direct Investments - FDIs are recognized in the economics literature as one of the vital determinants of economic growth. A particular interest of any host economy is to reach the employment effect of the FDIs. The purpose of the paper is to analyze the relationship between the inflow of the FDIs and the unemployment rate in the case of the former Yugoslav republics and to identify whether and how the new economies have benefited from the FDI inflow. The paper develops a model identifying the FDI as a determinant of the unemployment rate. A regression analysis is used to examine the correlation between the FDI inflow and the unemployment rate over the period of 30 years. The results show differences in FDIs inflow and huge individual variations in the unemployment rate in each country.,"Balkans Journal of Emerging Trends in Social Sciences, 7(1), 11-20. EBSCO / Sciendo",https://doi.org/10.31410/Balkans.JETSS.2024.7.1.11-20,en,Relationship between FDI Inflow and Unemployment in the Case of the Former Yugoslav Republics,Article
+,123456789/14,E. Hadzieva,2024-12-31,,"Numerus, 50-1, pp. 10-15. Union of Mathematicians of Macedonia, Skopje",http://repository.uist.edu.mk/handle/123456789/99,en,Prime numbers,Article
+,123456789/7,M. Grabuloski||A. Karadimce||A. Sefidanoski,2025-04-02," Retrieval-Augmented Generation (RAG) is a powerful technique that enhances the capabilities of
Large Language Models (LLMs) by integrating information retrieval with text generation. By accessing and
incorporating relevant external knowledge, RAG systems address the limitations of traditional LLMs, such as
memoryconstraints and the inability to access up-to-date information. This research explores the implementation
and evaluation of RAG systems, focusing on their potential to improve the accuracy and relevance of LLM
responses. It investigates the impact of different LLM types (causal, question-answering, conversational)
and retrieval-augmentation strategies (sentence-level, paragraph-level) on the performance of RAG systems.
We conducted experiments using various open-source LLMs and a custom-built RAG system to assess the
effectiveness of different approaches. The findings indicate that RAG systems can significantly enhance the
performance of LLMs, especially for complex questions that require access to diverse information sources.
T5 conversational models, in particular, demonstrate strong performance in synthesis-based tasks, effectively
combining information from multiple retrieved documents. However, causal and question-answering models
may struggle with complex reasoning and synthesis, even with RAG augmentation","WSEAS Transactions on Information Science and Applications, 22, 272-297. Scopus",https://doi.org/10.37394/23209.2025.22.23||http://repository.uist.edu.mk/handle/123456789/248,en,Enhancing Language Models with Retrieval-Augmented Generation: A Comparative Study on Performance,Article
+,123456789/6,V. Grujoski||A. Hristov||A. Velkoska,2025-08-23,"Since the past years, an ever-increasing 
number of online, internet, or mail-order pharmacies 
have operated with the constant expansion of the 
Internet. Most online pharmacies are authorized and 
legalized, offering medical services like standard local 
pharmacies. In these pharmacies, the customer makes 
its purchase through a computer device (computer, 
laptop, mobile, tablet) directly connected to the 
application or website of the E-pharmacy, entailing the 
necessary medicaments for a refill or new prescription 
without the need for any additional tools for accessing 
the website or the application. In this paper are 
presented the results of a survey on the Macedonian 
pharmacy market which was divided into several 
sections, and all the data was analyzed and explained. 
Results reflect a robust pandemic-facilitated boost in e
pharmacy adoption. Notably, offers/discounts and 
detailed drug information emerged as statistically 
significant in influencing consumer decision-making, 
whereas contactless delivery and deficiencies in the 
billing system had no visible effect. E-Pharmacy 
service satisfaction was improved during the pandemic 
but remained neutral for most users, which reflects 
untapped potential in building trust through better 
customer experience and data safeguarding. ","TEM Journal – Technology, Education, Management, Informatics, 14(3), 2174-2183. WoS, JIF: 0.6",https://www.temjournal.com/content/143/TEMJournalAugust2025_2174_2183.pdf||http://repository.uist.edu.mk/handle/123456789/78,en,Impact of COVID-19 on the Macedonian E-Pharmacy Market with Survey Analysis,Article
+,123456789/6,J. Damoska Sekuloska||A. Erceg,2022-06-13,"The primary purpose of the supply chains is to ensure and secure the availability and smooth flow of the necessary resources for efficient production processes and consumption. Supply chain activities have been experiencing significant changes due to the importance and creation of the integrated process. Blockchain is viewed as an innovative tool for transforming supply chain management’s (SCM’s) actual business model; on the other hand, the SCM provides an applicative value of blockchain technology. The research is focused on examining the influence of blockchain technology on the increasing efficiency, transparency, auditability, traceability, and security issues of the food supply chain (FSC), with particular attention to the local food supply chain (LFSC). The main objective of the research is to suggest the implementation of blockchain technology in the local food supply chain as a niche of the food industry. The result of the research is the identification of a three-layers model of a smart local food supply chain. The model provides efficient and more transparent tracking across the local food supply chain, improving food accessibility, traceability, and safety.","Computers (MDPI), 11(6), art. 95. WoS ESCI, JIF 2024: 4.2",https://doi.org/10.3390/computers11060095,en,Blockchain Technology toward Creating a Smart Local Food Supply Chain,Article
+,123456789/6,E. Hadzieva,2026-03-31,"A contractive iterated function system (IFS) defined on a complete metric space X possesses a unique compact attractor 
F\subset X. Obtaining the transformations of F is generally nontrivial, due to the nature of construction of F. In this work, we review a method based on barycentric coordinates for constructing affine transformations of F (translation, scaling, reflection, rotation, shear, and their compositions) and develop its stronger theoretical framework. This approach yields an exact solution to a specific inverse problem: given the affine image w(F)
 as a target set, we derive an explicit formula for the IFS whose fixed point is exactly 
w(F). Taking into account the definition of the Hutchinson operator, we also obtain the corresponding Hutchinson operator, whose fixed point is also 
w(F). Pseudocode and examples are included to facilitate implementation and verification.","Fixed Point Theory Algorithms for Science and Engineering. WoS, IF (2024): 1.1; 5-year IF: 2.126",https://doi.org/10.1186/s13663-026-00834-8,en,Exact solution of an inverse problem for affine images of IFS attractors,Article
